,Tanggal,Harga
0,2022-06-30,10000
1,2022-07-01,9978
2,2022-07-02,9974
3,2022-07-03,9969
4,2022-07-04,9962
5,2022-07-05,9955
6,2022-07-06,9948
7,2022-07-07,9940
8,2022-07-08,9931
9,2022-07-09,9923
10,2022-07-10,9915
11,2022-07-11,9906
12,2022-07-12,9898
13,2022-07-13,9889
14,2022-07-14,9881
15,2022-07-15,9873
16,2022-07-16,9865
17,2022-07-17,9857
18,2022-07-18,9849
19,2022-07-19,9841
20,2022-07-20,9834
21,2022-07-21,9826
22,2022-07-22,9819
23,2022-07-23,9812
24,2022-07-24,9805
25,2022-07-25,9798
26,2022-07-26,9792
27,2022-07-27,9785
28,2022-07-28,9779
29,2022-07-29,9773
30,2022-07-30,9767
31,2022-07-31,9761
32,2022-08-01,9756
33,2022-08-02,9750
34,2022-08-03,9745
35,2022-08-04,9739
36,2022-08-05,9734
37,2022-08-06,9729
38,2022-08-07,9724
39,2022-08-08,9719
40,2022-08-09,9714
41,2022-08-10,9710
42,2022-08-11,9705
43,2022-08-12,9701
44,2022-08-13,9696
45,2022-08-14,9692
46,2022-08-15,9688
47,2022-08-16,9684
48,2022-08-17,9680
49,2022-08-18,9676
50,2022-08-19,9672
51,2022-08-20,9668
52,2022-08-21,9664
53,2022-08-22,9661
54,2022-08-23,9657
55,2022-08-24,9654
56,2022-08-25,9650
57,2022-08-26,9647
58,2022-08-27,9644
59,2022-08-28,9640
60,2022-08-29,9637
61,2022-08-30,9634
62,2022-08-31,9631
63,2022-09-01,9628
64,2022-09-02,9625
65,2022-09-03,9622
66,2022-09-04,9619
67,2022-09-05,9617
68,2022-09-06,9614
69,2022-09-07,9611
70,2022-09-08,9609
71,2022-09-09,9606
72,2022-09-10,9604
73,2022-09-11,9601
74,2022-09-12,9599
75,2022-09-13,9596
76,2022-09-14,9594
77,2022-09-15,9592
78,2022-09-16,9589
79,2022-09-17,9587
80,2022-09-18,9585
81,2022-09-19,9583
82,2022-09-20,9581
83,2022-09-21,9579
84,2022-09-22,9577
85,2022-09-23,9575
86,2022-09-24,9573
87,2022-09-25,9571
88,2022-09-26,9569
89,2022-09-27,9567
90,2022-09-28,9566
91,2022-09-29,9564
92,2022-09-30,9562
93,2022-10-01,9560
94,2022-10-02,9559
95,2022-10-03,9557
96,2022-10-04,9555
97,2022-10-05,9554
98,2022-10-06,9552
99,2022-10-07,9551
100,2022-10-08,9549
101,2022-10-09,9548
102,2022-10-10,9546
103,2022-10-11,9545
104,2022-10-12,9543
105,2022-10-13,9542
106,2022-10-14,9541
107,2022-10-15,9539
108,2022-10-16,9538
109,2022-10-17,9537
110,2022-10-18,9536
111,2022-10-19,9534
112,2022-10-20,9533
113,2022-10-21,9532
114,2022-10-22,9531
115,2022-10-23,9530
116,2022-10-24,9529
117,2022-10-25,9527
118,2022-10-26,9526
119,2022-10-27,9525
120,2022-10-28,9524
121,2022-10-29,9523
122,2022-10-30,9522
123,2022-10-31,9521
124,2022-11-01,9520
